id,owner,deal_stage,updated_at,created_at,age_in_days,deferred_reason,not_interested_reasons,no_requirement_reasons,next_reach_out_date,comments,source_of_the_deal,head_office_city,country,number_of_outlets
2001640758,DJ,Won,12/03/2018 21:57,01/03/2018 16:55,18,,,,,,POS Partners,Bangalore,India,1
2001652776,AIB,Won,09/10/2020 11:48,01/08/2018 12:31,612,,,,,,Phone,Bangalore,India,69
2001652912,JM,Deal Deferred,07/01/2020 11:43,01/08/2018 14:22,1167,,,,,,POS Partners,Hyderabad,India,1
2001653793,,Lost,12/14/18 16:11,01/08/2018 20:37,8,,,,,,Cold call/email,Bangalore,India,1
2001653901,JM,Lost,9-21-2020 18:34:00,01/08/2018 20:44,87,,,,,,Cold call/email,Pune,India,1
2001664712,DJ,Lost,12/03/2018 21:57,01/12/2018 17:34,250,,,,,,POS Partners,Mumbai,India,20
2001671568,SS,Deal Deferred,12/07/2020 17:37,01-15-2018 12:14:00,1160,,,,,,POS Partners,Delhi NCR,India,33
2001671577,JM,Deal Deferred,07/01/2020 11:53,01-15-2018 12:20:00,1160,,,,,,Cold call/email,Bangalore,India,8
2001711049,JM,Deal Deferred,07/01/2020 11:43,01-22-2018 12:32:00,1153,,,,,,Web Form,Bangalore,India,1
2001725131,DJ,Won,12/14/18 16:10,01-24-2018 13:03:00,33,,,,,,POS Partners,Chennai,India,70
2001725840,DJ,Lost,12/03/2018 21:57,01/24/18 18:56,1,,,,,,POS Partners,Bangalore,India,1
2001744059,JM,Deal Deferred,07/01/2020 11:43,01/29/18 17:18,1146,,,,,,Cold call/email,Mumbai,India,3
2001745856,SS,Won,10/09/2020 13:20,01/29/18 19:31,953,,,,,,Web Form,Chennai,India,1
2001751823,JM,Lost,09/21/20 18:37,01/31/18 12:00,64,,,,,,Web Form,Others,India,1
2001751867,DJ,Deal Deferred,10/04/2019 12:28,01/31/18 12:39,1144,,,,,,Web Form,Bangalore,India,5
2001798173,DS,Lost,11/11/2020 18:01,02/08/2018 13:43,1007,,,,,,Cold call/email,Chennai,India,12
2001798420,JM,Deal Deferred,07/01/2020 11:53,02/08/2018 15:44,1136,,,,,,Cold call/email,Chennai,India,6
2001808660,JM,Lost,03/11/2020 13:42,02/12/2018 15:53,178,,,,,,Cold call/email,Mumbai,India,1
2001815250,DJ,Lost,01/02/2019 14:07,02/14/18 13:03,322,,,,,,Web Form,Delhi NCR,India,1
2001843438,DJ,Won,12/03/2018 21:57,02-26-2018 18:11:00,0,,,,,,,Bangalore,India,2
2001894126,JM,Deal Deferred,07/01/2020 11:53,03/08/2018 16:45,1108,,,,,,,Mumbai,India,1
2001894227,JM,Deal Deferred,07/01/2020 11:53,03/08/2018 17:34,1108,,,,,,,Others,India,1
2001959672,JHM,New,03-17-2021 19:49:00,03/20/18 18:22,1096,,,,,,Cold call/email,Chennai,India,16
2001959788,SS,Deferred,01/20/21 17:24,03-20-2018 18:57:00,1096,,,,,,Web Form,Hyderabad,India,2
2002014924,KS,Won,09/14/20 10:20,03-26-2018 12:22:00,92,,,,,,Web Form,Others,India,1
2002014975,DJ,Lost,12/03/2018 21:58,03-26-2018 12:55:00,79,,,,,,Web Form,Hyderabad,India,1
2002043130,JM,Lost,09/21/20 18:37,04/02/2018 19:05,616,,,,,,Web Form,Mumbai,India,1
2002047336,DJ,Deal Deferred,2-14-2020 12:04:00,04/04/2018 14:26,1081,,,,,,,Mumbai,India,3
2002115794,JM,Deal Deferred,07/01/2020 11:43,04-17-2018 15:23:00,1068,,,,,,,Jaipur,India,1
2002119395,JM,Deal Deferred,07/01/2020 11:53,04-18-2018 21:46:00,1067,,,,,,,Delhi NCR,India,3
2002119498,JM,Lost,03/11/2020 13:42,04-18-2018 22:29:00,65,,,,,,,Delhi NCR,India,1
2002120466,JM,Deal Deferred,07/01/2020 11:44,04-19-2018 7:58:00,1066,,,,,,,Delhi NCR,India,1
2002134409,JM,Deferred,09/09/2020 16:42,04-20-2018 14:00:00,1065,,,,,,Cold call/email,Lucknow,India,22
2002134537,JM,Lost,09/21/20 18:39,04-20-2018 14:42:00,598,,,,,,Web Form,Others,India,1
2002142085,AIB,Won,09/10/2020 11:49,04/24/18 12:11,435,,,,,,Food Aggregators,Delhi NCR,India,1
2002145624,JM,Lost,09/21/20 18:39,04/25/18 13:47,317,,,,,,Chat,Others,India,1
2002155228,JM,Deal Deferred,07/01/2020 11:44,04/29/18 13:22,1056,,,,,,Chat,Delhi NCR,India,1
2002164911,DJ,Deal Deferred,02-14-2020 12:04:00,05/03/2018 11:32,1052,,,,,,POS Partners,Others,India,1
2002169606,JM,Deal Deferred,07/01/2020 11:53,05/04/2018 12:24,1051,,,,,,Chat,Delhi NCR,India,1
2002170392,DJ,Lost,01/02/2019 12:53,05/04/2018 18:43,243,,,,,,POS Partners,Bangalore,India,1
2002182827,KS,Deal Deferred,01-14-2021 6:23:00,05/10/2018 13:35,1045,,,,,,Chat,Others,India,1
2002197780,KS,Won,09-14-2020 10:20:00,05/16/18 15:49,0,,,,,,Chat,Bangalore,India,1
2002280399,KS,Won,09-14-2020 10:20:00,06/06/2018 18:59,55,,,,,,Web Form,Chennai,India,11
2002283152,JM,Lost,09-21-2020 18:43:00,06/07/2018 17:52,132,,,,,,Chat,Coimbatore,India,1
2002285703,JM,Lost,09-21-2020 18:43:00,06/08/2018 15:22,0,,,,,,Web Form,Others,India,1
2002313879,DJ,Lost,12-19-2018 12:16:00,06-18-2018 16:07:00,184,,,,,,Web Form,Pune,India,2
2002325481,DJ,Lost,02-14-2020 12:04:00,06/22/18 19:15,321,,,,,,POS Partners,Chennai,India,2
2002331829,JM,Deferred,10-21-2020 1:29:00,06/26/18 18:53,998,,,,,,Cold call/email,Delhi NCR,India,3
2002341508,JM,Lost,09-21-2020 18:44:00,07/02/2018 11:41,373,,,,,,,Mumbai,India,4
2002343875,DJ,Lost,02-14-2020 12:04:00,07/03/2018 11:33,294,,,,,,,Bangalore,India,1
2002346523,KS,Lost,09-14-2020 15:47:00,07/04/2018 14:50,204,,,,,,Cold call/email,Pune,India,3
2002371857,DJ,Deal Deferred,02/14/20 12:04,07/10/2018 13:53,984,,,,,,,Bangalore,India,1
2002378718,DJ,Deal Deferred,02-14-2020 12:04:00,07/12/2018 14:02,982,,,,,,,Bangalore,India,2
2002382304,MJ,Deal Deferred,01/07/2021 20:46,07/13/18 15:51,981,,,,,,,Bangalore,India,21
2002404286,DJ,Deal Deferred,02-14-2020 12:04:00,07-23-2018 16:24:00,971,,,,,,POS Partners,Bangalore,India,2
2002449581,DJ,Lost,02-14-2020 12:04:00,08/06/2018 15:54,287,,,,,,Cold call/email,Bangalore,India,2
2002467417,KS,Lost,09-14-2020 15:52:00,08-14-2018 12:12:00,275,,,,,,Web Form,Hyderabad,India,3
2002475766,KS,Lost,09/14/20 15:52,08-16-2018 12:18:00,139,,,,,,Web Form,Mumbai,India,1
2002478535,PN,Demo Done,03/10/2021 18:26,08-17-2018 13:50:00,946,,,,,,Cold call/email,Others,India,1
2002485553,KS,Lost,09-14-2020 15:52:00,08-20-2018 18:06:00,239,,,,,,Web Form,Others,India,1
2002487471,JM,Lost,03/11/2020 13:42,08/21/18 14:11,206,,,,,,Cold call/email,Delhi NCR,India,1
2002503638,JM,Lost,03/11/2020 13:42,08/27/18 16:05,8,,,,,,Cold call/email,Mumbai,India,1
2002514676,JM,Lost,09-21-2020 18:45:00,08/31/18 13:16,465,,,,,,Chat,Bangalore,India,3
2002524440,KS,Lost,09-14-2020 15:54:00,09/03/2018 11:26,58,,,,,,Web Form,Bangalore,India,1
2002524450,KS,Lost,09-14-2020 15:54:00,09/03/2018 11:28,121,,,,,,Web Form,Bangalore,India,1
2002524463,KS,Lost,09/14/20 15:57,09/03/2018 11:34,255,,,,,,Web Form,Delhi NCR,India,1
2002531099,DJ,Lost,02-14-2020 12:04:00,09/05/2018 12:47,237,,,,,,Referral,Bangalore,India,1
2002533792,AIB,New,02/03/2021 15:27,09/06/2018 12:39,926,,,,,,Chat,Hyderabad,India,10
2002534845,JM,Deal Deferred,07/10/2020 17:48,09/06/2018 19:20,926,,,,,,,Coimbatore,India,3
2002536367,MPS,Deal Deferred,08/12/2020 12:48,09/07/2018 11:25,925,,,,,,Web Form,Others,India,1
2002538179,JM,Deal Deferred,07/10/2020 17:49,09/07/2018 19:01,925,,,,,,,Bangalore,India,1
2002543567,MPS,Deal Deferred,03/11/2020 17:27,09/11/2018 17:36,921,,,,,,Cold call/email,Mumbai,India,1
2002545666,JM,Deal Deferred,07/10/2020 17:52,09/12/2018 16:19,920,,,,,,,Hyderabad,India,1
2002554152,KS,Lost,09-14-2020 15:54:00,09-17-2018 12:05:00,49,,,,,,Web Form,Bangalore,India,1
2002554639,KS,Lost,09-14-2020 15:56:00,09/17/18 15:20,225,,,,,,Web Form,Bangalore,India,2
2002555843,JM,Deal Deferred,07/03/2020 17:59,09/17/18 18:44,915,,,,,,,Jalandhar,India,1
2002560440,JM,Dormant Dev Complete Partners,02/11/2021 15:08,09/19/18 16:23,913,,,,,,Web Form,Chennai,India,1
2002560575,JM,Lost,03/11/2020 13:42,9-19-2018 17:19:00,230,,,,,,Cold call/email,Kolkata,India,1
2002570165,MPS,Deal Deferred,06/30/20 11:59,9-24-2018 11:16:00,908,,,,,,Web Form,Others,India,1
